1.000000000000000000e+00 8.970856377620246223e-06 2.117258781888777948e-05 1.838876284554105400e-01 1.548786890553370854e-13 6.093698127032525243e-13
2.000000000000000000e+00 2.979041080970067579e-06 1.041623604778428168e-05 4.940840858375742523e-02 1.802309884117644195e-13 6.101356328621853795e-13
3.000000000000000000e+00 6.978270179666746317e-07 3.194514201074182962e-06 1.078484771384631558e-02 2.314935833572596787e-13 8.366156149465817591e-13
4.000000000000000000e+00 2.031289509269528841e-07 1.037274790771007751e-06 3.100407097832152004e-03 2.460569803773398400e-13 8.363370169650314236e-13
5.000000000000000000e+00 4.595113650151531994e-08 2.295870590528970540e-07 6.571867428864094311e-04 2.716234673838982844e-13 1.025407019355926425e-12
6.000000000000000000e+00 9.565560646441674974e-09 3.476011080486872270e-08 1.352111284844565982e-04 2.907491876649581445e-13 1.027492832864006399e-12
7.000000000000000000e+00 1.158331900704297200e-09 3.051866396196618806e-09 3.047057775350471749e-05 2.826746040243837539e-13 1.173917033274245672e-12
